ID,pretty_formula,compound,energy_cell,energy_atom,lattice_system,spacegroup,species,volume_cell,moment_cell,mag_field,mag_sites_MP,mag_sites,mag_type,magmom,comment1,icsd_ids,doi,comment2,e_above_hull,magnetization_norm_vol
mp-1207651,YMnFeO5,Y1 Mn1 Fe1 O5,,-2.507691700366379,Orthorhombic,Pbam,Fe;Mn;O;Y,368.6083594691474,32.0006618,,8,2,FM,0.0;0.0;0.0;0.0;3.2;3.2;3.2;3.2;4.3;4.3;4.3;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.0,0.08681480215501801
mp-1047495,Ca3Mn3(AsO4)4,Ca3 Mn3 As4 O16,,-2.324098579376658,Monoclinic,P2_1/c,As;Ca;Mn;O,766.7506814651324,29.9993657,,6,2,FM,0.0;0.0;0.0;0.0;0.0;0.0;4.6;4.6;4.6;4.6;4.6;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.0,0.039125319905391004
mp-922,CoPt3,Co1 Pt3,,-0.150056839999997,Cubic,Pm-3m,Co;Pt,58.13583289379899,2.8540454,,4,2,FM,2.3;0.2;0.2;0.2,,,,,0.0,0.049092706820141004
mp-3215882,ZrGa5Fe6Ge,Zr1 Ga5 Fe6 Ge1,,-0.27327379884615305,Orthorhombic,Imm2,Fe;Ga;Ge;Zr,181.581532825093,14.0975994,,6,6,FM,0.0;0.0;0.0;0.0;0.0;0.0;2.6;2.6;2.6;2.6;2.6;2.6;0.0,,,,,0.0,0.07763784775172801
mp-555569,Cr2S3,Cr2 S3,,-1.011826391687499,Trigonal,R-3,Cr;S,176.60390142171053,12.0,,4,3,FM,3.0;3.1;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.0,0.067948668763241
mp-19333,Fe2B2O5,Fe2 B2 O5,,-2.006425814861111,Triclinic,P-1,B;Fe;O,178.82770206935703,16.0000003,,4,2,FM,3.7;3.7;3.6;3.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.045706574417989004,0.08947159816321101
mp-562111,Co3(AsO4)2,Co3 As2 O8,,-1.3061046428846161,Monoclinic,P2_1/c,As;Co;O,577.3842654927694,35.9999746,,12,3,FM,2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.037183985807685005,0.06235011369642301
mp-19080,Na2Mn3O7,Na2 Mn3 O7,,-2.100215703308189,Triclinic,P-1,Mn;Na;O,271.6524857617183,18.0000001,,6,3,FM,0.0;0.0;0.0;0.0;2.8;2.8;2.9;2.9;2.8;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.0,0.06626112788744601
mp-972320,UNiB4,U1 Ni1 B4,,-0.5362005875,Tetragonal,I4/mmm,B;Ni;U,239.8096979553497,9.4785783,,8,3,FM,2.0;2.0;2.0;2.0;0.30000000000000004;0.30000000000000004;0.30000000000000004;0.30000000000000004;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0,,,,,0.0,0.039525416948587
mp-757573,MnVHPbO5,Mn1 V1 H1 Pb1 O5,,-2.007463560498083,Orthorhombic,Pnma,H;Mn;O;Pb;V,443.73658038098176,20.0000016,,8,2,FM,4.4;4.4;4.4;4.4;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,,,,,0.0,0.045071789174623005
